step,dataset_index,timestamp,actual_state_1,actual_action_0,actual_action_1,actual_action_2,actual_action_3,actual_action_4,actual_action_5,predicted_action_0,predicted_action_1,predicted_action_2,predicted_action_3,predicted_action_4,predicted_action_5
19,19,1.899999976158142,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.66549682617188,90.3962173461914,90.0,90.0,90.06238555908203
20,20,2.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,92.9710693359375,90.55171203613281,90.0,90.0,90.001708984375
21,21,2.0999999046325684,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.5580062866211,90.55236053466797,90.0,90.0,90.04137420654297
22,22,2.200000047683716,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,94.28507995605469,90.36382293701172,90.0,90.0,90.00418853759766
23,23,2.299999952316284,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,88.3318862915039,89.88468170166016,90.0,90.0,90.0152816772461
24,24,2.4000000953674316,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,86.87033081054688,89.69441223144531,90.0,90.0,90.04459381103516
25,25,2.5,90.0,90.0,90.0,88.0,90.0,90.0,90.0,90.0,83.5295181274414,87.77922058105469,90.0,90.0,90.03186798095703
26,26,2.5999999046325684,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,87.51739501953125,86.79363250732422,90.0,90.0,90.08251190185547
27,27,2.700000047683716,90.0,90.0,90.0,84.0,90.0,90.0,90.0,90.0,91.3480224609375,82.40745544433594,90.0,90.0,90.00619506835938
28,28,2.799999952316284,90.0,90.0,90.0,82.0,90.0,90.0,90.0,90.0,90.9944076538086,80.15213775634766,90.0,90.0,90.05009460449219
29,29,2.9000000953674316,90.0,90.0,90.0,80.0,90.0,90.0,90.0,90.0,87.76085662841797,77.9804916381836,90.0,90.0,90.0565414428711
30,30,3.0,90.0,90.0,90.0,78.0,90.0,90.0,90.0,90.0,86.97900390625,77.0658187866211,90.0,90.0,90.09860229492188
31,31,3.0999999046325684,90.0,90.0,90.0,76.0,90.0,90.0,90.0,90.0,86.99868774414062,74.352294921875,90.0,90.0,89.98353576660156
32,32,3.200000047683716,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,89.69252014160156,72.75672149658203,90.0,90.0,90.02164459228516
33,33,3.299999952316284,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,87.01497650146484,72.41946411132812,90.0,90.0,90.02776336669922
34,34,3.4000000953674316,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,89.56632995605469,73.51664733886719,90.0,90.0,90.06449127197266
35,35,3.5,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,88.85382080078125,72.43830108642578,90.0,90.0,90.071533203125
36,36,3.5999999046325684,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,90.28105163574219,74.32286071777344,90.0,90.0,90.109619140625
37,37,3.700000047683716,90.0,90.0,90.0,74.0,90.0,90.0,90.0,90.0,91.61474609375,74.4448471069336,90.0,90.0,90.1189956665039
38,38,3.799999952316284,90.0,90.0,90.0,76.0,90.0,90.0,90.0,90.0,94.46458435058594,76.89339447021484,90.0,90.0,90.07887268066406
39,39,3.9000000953674316,90.0,90.0,90.0,78.0,90.0,90.0,90.0,90.0,91.75838470458984,79.92997741699219,90.0,90.0,90.07805633544922
40,40,4.0,90.0,90.0,90.0,80.0,90.0,90.0,90.0,90.0,93.3258056640625,81.75348663330078,90.0,90.0,90.07937622070312
41,41,4.099999904632568,90.0,90.0,90.0,82.0,90.0,90.0,90.0,90.0,94.16256713867188,84.54771423339844,90.0,90.0,90.00595092773438
42,42,4.199999809265137,90.0,90.0,90.0,84.0,90.0,90.0,90.0,90.0,97.16386413574219,84.8232192993164,90.0,90.0,89.98497009277344
43,43,4.300000190734863,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,96.1669921875,86.40509796142578,90.0,90.0,89.97626495361328
44,44,4.400000095367432,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,96.71452331542969,86.1981201171875,90.0,90.0,89.98310852050781
45,45,4.5,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,97.59188842773438,86.07435607910156,90.0,90.0,89.98294830322266
46,46,4.599999904632568,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,95.3052978515625,86.06884765625,90.0,90.0,89.99774169921875
47,47,4.699999809265137,90.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,95.6338119506836,86.0443115234375,90.0,90.0,89.98876190185547
48,48,4.800000190734863,90.0,90.0,88.0,86.0,90.0,90.0,90.0,90.0,95.94972229003906,86.04837036132812,90.0,90.0,89.98611450195312
49,49,4.900000095367432,90.0,90.0,86.0,86.0,90.0,90.0,90.0,90.0,93.09373474121094,86.12417602539062,90.0,90.0,89.98888397216797
50,50,5.0,90.0,90.0,84.0,86.0,90.0,90.0,90.0,90.0,96.15554809570312,80.07207489013672,90.0,90.0,90.04475402832031
51,51,5.099999904632568,89.0,90.0,82.0,86.0,90.0,90.0,90.0,90.0,86.02336120605469,82.17797088623047,90.0,90.0,90.072021484375
52,52,5.199999809265137,90.0,90.0,80.0,86.0,90.0,90.0,90.0,90.0,86.20001983642578,82.01055908203125,90.0,90.0,90.01905059814453
53,53,5.300000190734863,86.0,90.0,78.0,86.0,90.0,90.0,90.0,90.0,85.59535217285156,82.39806365966797,90.0,90.0,89.98562622070312
54,54,5.400000095367432,85.0,90.0,76.0,86.0,90.0,90.0,90.0,90.0,82.54461669921875,83.55341339111328,90.0,90.0,89.964111328125
55,55,5.5,83.0,90.0,74.0,86.0,90.0,90.0,90.0,90.0,82.50907897949219,83.26686096191406,90.0,90.0,89.97146606445312
56,56,5.599999904632568,81.0,90.0,72.0,86.0,90.0,90.0,90.0,90.0,83.09184265136719,83.36914825439453,90.0,90.0,89.94139099121094
57,57,5.699999809265137,79.0,90.0,70.0,86.0,90.0,90.0,90.0,90.0,79.58285522460938,84.84324645996094,90.0,90.0,90.00110626220703
58,58,5.800000190734863,78.0,90.0,68.0,86.0,90.0,90.0,90.0,90.0,74.92755126953125,85.25320434570312,90.0,90.0,89.98395538330078
59,59,5.900000095367432,76.0,90.0,66.0,86.0,90.0,90.0,90.0,90.0,73.21183013916016,85.74160766601562,90.0,90.0,89.96623229980469
60,60,6.0,74.0,90.0,64.0,86.0,90.0,90.0,90.0,90.0,71.2222900390625,85.85441589355469,90.0,90.0,89.97990417480469
61,61,6.099999904632568,90.0,90.0,62.0,86.0,90.0,90.0,90.0,90.0,69.271484375,85.88603210449219,90.0,90.0,89.97713470458984
62,62,6.199999809265137,70.0,90.0,60.0,86.0,90.0,90.0,90.0,90.0,69.50023651123047,85.91571807861328,90.0,90.0,89.96858978271484
63,63,6.300000190734863,68.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,68.22913360595703,85.96622467041016,90.0,90.0,89.97515869140625
64,64,6.400000095367432,66.0,90.0,56.0,86.0,90.0,90.0,90.0,90.0,68.03264617919922,85.93077850341797,90.0,90.0,89.97938537597656
65,65,6.5,64.0,90.0,54.0,86.0,90.0,90.0,90.0,90.0,65.57482147216797,85.95021057128906,90.0,90.0,89.96795654296875
66,66,6.599999904632568,62.0,90.0,52.0,86.0,90.0,90.0,90.0,90.0,61.08095169067383,85.97480773925781,90.0,90.0,89.97454071044922
67,67,6.699999809265137,60.0,90.0,50.0,86.0,90.0,90.0,90.0,90.0,58.571495056152344,85.96104431152344,90.0,90.0,89.97097778320312
68,68,6.800000190734863,58.0,90.0,48.0,86.0,90.0,90.0,90.0,90.0,56.9520149230957,85.97085571289062,90.0,90.0,89.97499084472656
69,69,6.900000095367432,90.0,90.0,46.0,86.0,90.0,90.0,90.0,90.0,55.3072509765625,85.94902801513672,90.0,90.0,89.96322631835938
70,70,7.0,54.0,90.0,44.0,86.0,90.0,90.0,90.0,90.0,53.037635803222656,85.95356750488281,90.0,90.0,89.97394561767578
71,71,7.099999904632568,52.0,90.0,42.0,86.0,90.0,90.0,90.0,90.0,49.897613525390625,85.97944641113281,90.0,90.0,89.97694396972656
72,72,7.199999809265137,50.0,90.0,40.0,86.0,90.0,90.0,90.0,90.0,47.95773696899414,85.96768188476562,90.0,90.0,89.97774505615234
73,73,7.300000190734863,48.0,90.0,38.0,86.0,90.0,90.0,90.0,90.0,46.149574279785156,85.9884262084961,90.0,90.0,89.98054504394531
74,74,7.400000095367432,90.0,90.0,36.0,86.0,90.0,90.0,90.0,90.0,44.290992736816406,85.97383880615234,90.0,90.0,89.9762954711914
75,75,7.5,44.0,90.0,34.0,86.0,90.0,90.0,90.0,90.0,41.96308898925781,85.97795867919922,90.0,90.0,89.96609497070312
76,76,7.599999904632568,42.0,90.0,32.0,86.0,90.0,90.0,90.0,90.0,39.26749801635742,86.00264739990234,90.0,90.0,89.97561645507812
77,77,7.699999809265137,40.0,90.0,30.0,86.0,90.0,90.0,90.0,90.0,36.83929443359375,85.97549438476562,90.0,90.0,89.97689819335938
78,78,7.800000190734863,38.0,90.0,28.0,86.0,90.0,90.0,90.0,90.0,34.81904220581055,85.99076843261719,90.0,90.0,89.97203063964844
79,79,7.900000095367432,36.0,90.0,26.0,86.0,90.0,90.0,90.0,90.0,32.85031509399414,85.97830963134766,90.0,90.0,89.96976470947266
80,80,8.0,34.0,90.0,24.0,86.0,90.0,90.0,90.0,90.0,30.7651424407959,85.98953247070312,90.0,90.0,89.98225402832031
81,81,8.100000381469727,32.0,90.0,22.0,86.0,90.0,90.0,90.0,90.0,27.98250389099121,86.01547241210938,90.0,90.0,89.977294921875
82,82,8.199999809265137,30.0,90.0,20.0,86.0,90.0,90.0,90.0,90.0,25.476455688476562,85.98501586914062,90.0,90.0,89.98053741455078
83,83,8.300000190734863,28.0,90.0,18.0,86.0,90.0,90.0,90.0,90.0,22.727153778076172,85.97882080078125,90.0,90.0,89.97747039794922
84,84,8.399999618530273,26.0,90.0,16.0,86.0,90.0,90.0,90.0,90.0,20.214933395385742,85.97871398925781,90.0,90.0,89.97679138183594
85,85,8.5,24.0,90.0,16.0,86.0,90.0,90.0,90.0,90.0,17.27708625793457,85.9882583618164,90.0,90.0,89.9870834350586
86,86,8.600000381469727,22.0,90.0,16.0,86.0,90.0,90.0,90.0,90.0,14.373268127441406,85.99813079833984,90.0,90.0,89.98461151123047
87,87,8.699999809265137,20.0,90.0,18.0,86.0,90.0,90.0,90.0,90.0,12.040775299072266,85.96770477294922,90.0,90.0,89.96578979492188
88,88,8.800000190734863,19.0,90.0,20.0,86.0,90.0,90.0,90.0,90.0,10.498729705810547,85.98603820800781,90.0,90.0,89.97212219238281
89,89,8.899999618530273,19.0,90.0,22.0,86.0,90.0,90.0,90.0,90.0,8.69504165649414,85.95124816894531,90.0,90.0,89.97447967529297
90,90,9.0,18.0,90.0,24.0,86.0,90.0,90.0,90.0,90.0,6.950389862060547,85.9747543334961,90.0,90.0,89.9598388671875
91,91,9.100000381469727,90.0,90.0,26.0,86.0,90.0,90.0,90.0,90.0,12.688789367675781,85.99312591552734,90.0,90.0,90.00564575195312
92,92,9.199999809265137,19.0,90.0,28.0,86.0,90.0,90.0,90.0,90.0,11.938026428222656,85.97111511230469,90.0,90.0,90.00000762939453
93,93,9.300000190734863,20.0,90.0,30.0,86.0,90.0,90.0,90.0,90.0,16.511363983154297,85.99054718017578,90.0,90.0,89.99925231933594
94,94,9.399999618530273,23.0,90.0,32.0,86.0,90.0,90.0,90.0,90.0,14.646282196044922,85.98837280273438,90.0,90.0,89.98340606689453
95,95,9.5,24.0,90.0,34.0,86.0,90.0,90.0,90.0,90.0,16.216049194335938,86.00125122070312,90.0,90.0,89.9915542602539
96,96,9.600000381469727,90.0,90.0,36.0,86.0,90.0,90.0,90.0,90.0,16.15582847595215,85.98249816894531,90.0,90.0,89.98172760009766
97,97,9.699999809265137,28.0,90.0,38.0,86.0,90.0,90.0,90.0,90.0,11.81179428100586,85.9909439086914,90.0,90.0,89.97534942626953
98,98,9.800000190734863,30.0,90.0,40.0,86.0,90.0,90.0,90.0,90.0,11.906623840332031,85.98306274414062,90.0,90.0,89.97962188720703
99,99,9.899999618530273,32.0,90.0,42.0,86.0,90.0,90.0,90.0,90.0,11.045204162597656,85.97550964355469,90.0,90.0,89.97014617919922
100,100,10.0,34.0,90.0,44.0,86.0,90.0,90.0,90.0,90.0,37.81796646118164,85.98090362548828,90.0,90.0,89.98982238769531
101,101,10.100000381469727,36.0,90.0,46.0,86.0,90.0,90.0,90.0,90.0,41.959938049316406,85.99765014648438,90.0,90.0,89.97505950927734
102,102,10.199999809265137,38.0,90.0,48.0,86.0,90.0,90.0,90.0,90.0,45.983116149902344,85.99835968017578,90.0,90.0,90.00944519042969
103,103,10.300000190734863,40.0,90.0,50.0,86.0,90.0,90.0,90.0,90.0,45.47145080566406,86.01447296142578,90.0,90.0,89.98694610595703
104,104,10.399999618530273,42.0,90.0,52.0,86.0,90.0,90.0,90.0,90.0,47.75477600097656,85.99522399902344,90.0,90.0,89.9914779663086
105,105,10.5,44.0,90.0,54.0,86.0,90.0,90.0,90.0,90.0,49.857662200927734,86.00675201416016,90.0,90.0,90.0123291015625
106,106,10.600000381469727,46.0,90.0,56.0,86.0,90.0,90.0,90.0,90.0,51.838253021240234,86.00397491455078,90.0,90.0,90.01594543457031
107,107,10.699999809265137,48.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,53.81282043457031,85.99626159667969,90.0,90.0,90.0092544555664
108,108,10.800000190734863,50.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,55.68524932861328,85.99761199951172,90.0,90.0,89.99793243408203
109,109,10.899999618530273,52.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,57.9807243347168,86.00849151611328,90.0,90.0,90.00255584716797
110,110,11.0,54.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,60.355953216552734,86.00334930419922,90.0,90.0,89.99781036376953
111,111,11.100000381469727,56.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,62.28433609008789,86.0033950805664,90.0,90.0,90.0042495727539
112,112,11.199999809265137,56.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,63.24114990234375,85.99695587158203,90.0,90.0,90.0131607055664
113,113,11.300000190734863,90.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,65.44355010986328,86.00576782226562,90.0,90.0,89.9930191040039
114,114,11.399999618530273,56.0,90.0,56.0,86.0,90.0,90.0,90.0,90.0,69.22571563720703,85.9965591430664,90.0,90.0,89.98956298828125
115,115,11.5,56.0,90.0,54.0,86.0,90.0,90.0,90.0,90.0,70.37699890136719,86.00157928466797,90.0,90.0,90.00091552734375
116,116,11.600000381469727,56.0,90.0,56.0,86.0,90.0,90.0,90.0,90.0,72.57818603515625,86.0055160522461,90.0,90.0,89.99781036376953
117,117,11.699999809265137,56.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,75.37432861328125,86.01905822753906,90.0,90.0,90.00389862060547
118,118,11.800000190734863,56.0,90.0,60.0,86.0,90.0,90.0,90.0,90.0,79.6224136352539,86.02996826171875,90.0,90.0,90.00743103027344
119,119,11.899999618530273,56.0,90.0,62.0,86.0,90.0,90.0,90.0,90.0,81.5284423828125,86.02100372314453,90.0,90.0,90.00314331054688
120,120,12.0,57.0,90.0,64.0,86.0,90.0,90.0,90.0,90.0,83.75712585449219,86.00951385498047,90.0,90.0,89.99671173095703
121,121,12.100000381469727,58.0,90.0,66.0,86.0,90.0,90.0,90.0,90.0,84.56686401367188,86.00906372070312,90.0,90.0,90.00496673583984
122,122,12.199999809265137,90.0,90.0,68.0,86.0,90.0,90.0,90.0,90.0,87.205322265625,86.02149200439453,90.0,90.0,90.0033950805664
123,123,12.300000190734863,61.0,90.0,70.0,86.0,90.0,90.0,90.0,90.0,83.38455200195312,86.02050018310547,90.0,90.0,90.02041625976562
124,124,12.399999618530273,63.0,90.0,72.0,86.0,90.0,90.0,90.0,90.0,88.6478271484375,86.02080535888672,90.0,90.0,89.98872375488281
125,125,12.5,65.0,90.0,74.0,86.0,90.0,90.0,90.0,90.0,87.94845581054688,86.02318572998047,90.0,90.0,90.00160217285156
126,126,12.600000381469727,67.0,90.0,76.0,86.0,90.0,90.0,90.0,90.0,90.3804931640625,86.01667022705078,90.0,90.0,89.99982452392578
127,127,12.699999809265137,68.0,90.0,78.0,86.0,90.0,90.0,90.0,90.0,91.09330749511719,86.03106689453125,90.0,90.0,90.00237274169922
128,128,12.800000190734863,70.0,90.0,80.0,86.0,90.0,90.0,90.0,90.0,90.19554138183594,86.03202819824219,90.0,90.0,90.00245666503906
129,129,12.899999618530273,72.0,90.0,82.0,86.0,90.0,90.0,90.0,90.0,91.47491455078125,86.02687072753906,90.0,90.0,89.98983001708984
130,130,13.0,90.0,90.0,84.0,86.0,90.0,90.0,90.0,90.0,90.80897521972656,86.0120620727539,90.0,90.0,89.99104309082031
131,131,13.100000381469727,76.0,90.0,86.0,86.0,90.0,90.0,90.0,90.0,93.82913208007812,86.03240966796875,90.0,90.0,89.99507141113281
132,132,13.199999809265137,78.0,90.0,88.0,86.0,90.0,90.0,90.0,90.0,91.67025756835938,86.02668762207031,90.0,90.0,90.01225280761719
133,133,13.300000190734863,80.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,95.15843200683594,86.02667999267578,90.0,90.0,89.99894714355469
134,134,13.399999618530273,82.0,90.0,92.0,86.0,90.0,90.0,90.0,90.0,90.12850952148438,86.0216293334961,90.0,90.0,90.0126953125
135,135,13.5,84.0,90.0,94.0,86.0,90.0,90.0,90.0,90.0,88.85554504394531,86.02400970458984,90.0,90.0,90.00298309326172
136,136,13.600000381469727,86.0,90.0,94.0,86.0,90.0,90.0,90.0,90.0,86.7813491821289,86.01200103759766,90.0,90.0,90.004150390625
137,137,13.699999809265137,88.0,90.0,94.0,86.0,90.0,90.0,90.0,90.0,83.54353332519531,85.99968719482422,90.0,90.0,89.99905395507812
138,138,13.800000190734863,90.0,90.0,94.0,86.0,90.0,90.0,90.0,90.0,81.50453186035156,85.99877166748047,90.0,90.0,90.00733947753906
139,139,13.899999618530273,90.0,90.0,94.0,86.0,90.0,90.0,90.0,90.0,81.25654602050781,86.0093765258789,90.0,90.0,90.00151062011719
140,140,14.0,94.0,90.0,92.0,86.0,90.0,90.0,90.0,90.0,78.33834838867188,86.00306701660156,90.0,90.0,90.00615692138672
141,141,14.100000381469727,94.0,90.0,90.0,86.0,90.0,90.0,90.0,90.0,77.54989624023438,86.00082397460938,90.0,90.0,90.00051879882812
142,142,14.199999809265137,94.0,90.0,88.0,86.0,90.0,90.0,90.0,90.0,74.70417022705078,85.99967956542969,90.0,90.0,89.99642944335938
143,143,14.300000190734863,93.0,90.0,86.0,86.0,90.0,90.0,90.0,90.0,72.02241516113281,86.00469207763672,90.0,90.0,89.99752807617188
144,144,14.399999618530273,92.0,90.0,84.0,86.0,90.0,90.0,90.0,90.0,70.84940338134766,86.01654815673828,90.0,90.0,89.99004364013672
145,145,14.5,90.0,90.0,82.0,86.0,90.0,90.0,90.0,90.0,70.02931213378906,85.9954605102539,90.0,90.0,89.994873046875
146,146,14.600000381469727,89.0,90.0,80.0,86.0,90.0,90.0,90.0,90.0,67.81393432617188,86.00773620605469,90.0,90.0,89.99386596679688
147,147,14.699999809265137,87.0,90.0,78.0,86.0,90.0,90.0,90.0,90.0,63.97614288330078,86.00292205810547,90.0,90.0,89.99327087402344
148,148,14.800000190734863,90.0,90.0,76.0,86.0,90.0,90.0,90.0,90.0,63.1896858215332,86.01141357421875,90.0,90.0,89.98357391357422
149,149,14.899999618530273,84.0,90.0,74.0,86.0,90.0,90.0,90.0,90.0,60.32609558105469,86.0069808959961,90.0,90.0,90.00865936279297
150,150,15.0,82.0,90.0,72.0,86.0,90.0,90.0,90.0,90.0,81.10287475585938,86.00361633300781,90.0,90.0,90.04861450195312
151,151,15.100000381469727,80.0,90.0,70.0,86.0,90.0,90.0,90.0,90.0,76.6939697265625,86.02214050292969,90.0,90.0,90.01241302490234
152,152,15.199999809265137,78.0,90.0,68.0,86.0,90.0,90.0,90.0,90.0,75.05309295654297,86.01326751708984,90.0,90.0,90.01744079589844
153,153,15.300000190734863,76.0,90.0,66.0,86.0,90.0,90.0,90.0,90.0,73.61587524414062,85.99834442138672,90.0,90.0,90.02201843261719
154,154,15.399999618530273,74.0,90.0,64.0,86.0,90.0,90.0,90.0,90.0,71.41029357910156,85.97408294677734,90.0,90.0,90.01249694824219
155,155,15.5,72.0,90.0,62.0,86.0,90.0,90.0,90.0,90.0,68.5865478515625,85.98685455322266,90.0,90.0,90.010009765625
156,156,15.600000381469727,70.0,90.0,60.0,86.0,90.0,90.0,90.0,90.0,66.5323715209961,85.99109649658203,90.0,90.0,90.0150375366211
157,157,15.699999809265137,68.0,90.0,58.0,86.0,90.0,90.0,90.0,90.0,64.3488540649414,85.97218322753906,90.0,90.0,90.0105209350586
158,158,15.800000190734863,66.0,90.0,56.0,86.0,90.0,90.0,90.0,90.0,61.69395065307617,85.99531555175781,90.0,90.0,90.02395629882812
159,159,15.899999618530273,64.0,90.0,54.0,86.0,90.0,90.0,90.0,90.0,60.761634826660156,85.97896575927734,90.0,90.0,90.01001739501953
160,160,16.0,62.0,90.0,52.0,86.0,90.0,90.0,90.0,90.0,58.71513366699219,85.97400665283203,90.0,90.0,90.02926635742188
161,161,16.100000381469727,60.0,90.0,50.0,86.0,90.0,90.0,90.0,90.0,55.72321319580078,85.97904968261719,90.0,90.0,90.04191589355469
162,162,16.200000762939453,58.0,90.0,48.0,86.0,90.0,90.0,90.0,90.0,53.489559173583984,85.9828109741211,90.0,90.0,90.03123474121094
163,163,16.299999237060547,56.0,90.0,46.0,86.0,90.0,90.0,90.0,90.0,51.903968811035156,85.99280548095703,90.0,90.0,90.02464294433594
164,164,16.399999618530273,54.0,90.0,44.0,86.0,90.0,90.0,90.0,90.0,49.55760192871094,85.98638153076172,90.0,90.0,90.02454376220703
165,165,16.5,52.0,90.0,42.0,86.0,90.0,90.0,90.0,90.0,48.343467712402344,85.9845962524414,90.0,90.0,90.02166748046875
166,166,16.600000381469727,50.0,90.0,40.0,86.0,90.0,90.0,90.0,90.0,45.46542739868164,85.96868133544922,90.0,90.0,90.02000427246094
167,167,16.700000762939453,48.0,90.0,38.0,86.0,90.0,90.0,90.0,90.0,46.04230880737305,85.98462677001953,90.0,90.0,90.01358795166016
168,168,16.799999237060547,46.0,90.0,36.0,86.0,90.0,90.0,90.0,90.0,44.47538375854492,85.99046325683594,90.0,90.0,90.02037811279297
169,169,16.899999618530273,44.0,90.0,34.0,86.0,90.0,90.0,90.0,90.0,42.83091735839844,85.98040771484375,90.0,90.0,90.01630401611328
170,170,17.0,42.0,90.0,32.0,86.0,90.0,90.0,90.0,90.0,39.95289993286133,85.98700714111328,90.0,90.0,90.02879333496094
171,171,17.100000381469727,40.0,90.0,30.0,86.0,90.0,90.0,90.0,90.0,36.6428108215332,85.98563385009766,90.0,90.0,90.03340911865234
172,172,17.200000762939453,38.0,90.0,28.0,86.0,90.0,90.0,90.0,90.0,37.42475891113281,86.00470733642578,90.0,90.0,90.01536560058594
173,173,17.299999237060547,36.0,90.0,26.0,86.0,90.0,90.0,90.0,90.0,34.648048400878906,85.98372650146484,90.0,90.0,90.03543853759766
174,174,17.399999618530273,34.0,90.0,24.0,86.0,90.0,90.0,90.0,90.0,32.499385833740234,85.97879028320312,90.0,90.0,90.011962890625
175,175,17.5,32.0,90.0,22.0,86.0,90.0,90.0,90.0,90.0,29.260116577148438,85.98783111572266,90.0,90.0,90.0278549194336
176,176,17.600000381469727,30.0,90.0,20.0,86.0,90.0,90.0,90.0,90.0,28.152990341186523,85.97958374023438,90.0,90.0,90.01334381103516
177,177,17.700000762939453,28.0,90.0,18.0,86.0,90.0,90.0,90.0,90.0,25.669008255004883,85.9791259765625,90.0,90.0,90.01341247558594
178,178,17.799999237060547,26.0,90.0,16.0,86.0,90.0,90.0,90.0,90.0,23.495532989501953,85.97136688232422,90.0,90.0,90.0087890625
179,179,17.899999618530273,24.0,90.0,14.0,86.0,90.0,90.0,90.0,90.0,23.95118522644043,85.96514892578125,90.0,90.0,89.99629974365234
180,180,18.0,22.0,90.0,12.0,86.0,90.0,90.0,90.0,90.0,20.999408721923828,85.97315216064453,90.0,90.0,89.9946060180664
181,181,18.100000381469727,20.0,90.0,10.0,86.0,90.0,90.0,90.0,90.0,18.319215774536133,85.96553039550781,90.0,90.0,89.99068450927734
182,182,18.200000762939453,18.0,90.0,8.0,86.0,90.0,90.0,90.0,90.0,20.06174659729004,85.96857452392578,90.0,90.0,90.00410461425781
